Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:10,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.399600,0.000000,0.120450,0.106750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000759,0.000759,0.002450,0.000029,0.004250,0.000000,0.000029,0.000029,0.069900,0.069900,0.003300,0.003300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:11,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.422200,0.000000,0.137175,0.121425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000765,0.000765,0.002685,0.000032,0.004655,0.000000,0.000032,0.000032,0.066150,0.066150,0.004800,0.004800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:12,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.444800,0.000000,0.153900,0.136100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000771,0.000771,0.002920,0.000035,0.005060,0.000000,0.000035,0.000035,0.062400,0.062400,0.006300,0.006300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:13,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.447250,0.000000,0.170625,0.150775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000776,0.000776,0.003155,0.000038,0.005465,0.000000,0.000038,0.000038,0.060350,0.060350,0.007800,0.007800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:14,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449700,0.000000,0.187350,0.165450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000782,0.000782,0.003390,0.000041,0.005870,0.000000,0.000041,0.000041,0.058300,0.058300,0.009300,0.009300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:15,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.434000,0.000000,0.204075,0.180125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000788,0.000788,0.003625,0.000044,0.006275,0.000000,0.000044,0.000044,0.051450,0.051450,0.016250,0.016250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:16,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.418300,0.000000,0.220800,0.194800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000794,0.000794,0.003860,0.000047,0.006680,0.000000,0.000047,0.000047,0.044600,0.044600,0.023200,0.023200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:17,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.397900,0.000000,0.224900,0.201900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000800,0.000800,0.004095,0.000050,0.007085,0.000000,0.000050,0.000050,0.038800,0.038800,0.030150,0.030150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:18,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.377500,0.000000,0.229000,0.209000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000806,0.000806,0.004330,0.000053,0.007490,0.000000,0.000053,0.000053,0.033000,0.033000,0.037100,0.037100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:19,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.372850,0.000000,0.261433,0.240250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000812,0.000812,0.004565,0.000056,0.007895,0.000000,0.000056,0.000056,0.031783,0.031783,0.030900,0.030900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
